algorithm,hardware_size,logical_qubits,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,n_seeds_raw,n_seeds_shifted,ff_chain_depth_raw_median,ff_chain_depth_shifted_median,depth_reduction_pct,throughput_raw_median,throughput_shifted_median,throughput_delta,throughput_gain_pct,stall_rate_raw_median,stall_rate_shifted_median,stall_rate_delta,stall_reduction_pct,utilization_raw_median,utilization_shifted_median,utilization_delta,utilization_gain_pct
QAOA,4,16,asap,next_cycle,8,1,1,8,4,5,5,34.0,2.0,94.117647,2.878049,3.878049,1.0,34.74576,0.107143,0.168675,0.061532,-57.42979,0.359756,0.484756,0.125,34.745772
QAOA,4,16,asap,next_cycle,8,1,1,8,8,5,5,34.0,2.0,94.117647,3.051724,7.395349,4.343625,142.333481,0.293103,0.023256,-0.269847,92.065588,0.381466,0.924419,0.542953,142.333262
QAOA,4,16,asap,next_cycle,8,1,2,8,4,5,5,34.0,2.0,94.117647,2.226415,3.831325,1.60491,72.084944,0.291045,0.176471,-0.114574,39.366421,0.278302,0.478916,0.200614,72.085001
QAOA,4,16,asap,next_cycle,8,1,2,8,8,5,5,34.0,2.0,94.117647,2.298701,7.066667,4.767966,207.420017,0.467532,0.044444,-0.423088,90.493913,0.287338,0.883333,0.595995,207.419485
QAOA,4,16,asap,next_cycle,8,2,1,8,4,5,5,34.0,2.0,94.117647,2.226415,3.831325,1.60491,72.084944,0.291045,0.176471,-0.114574,39.366421,0.278302,0.478916,0.200614,72.085001
QAOA,4,16,asap,next_cycle,8,2,1,8,8,5,5,34.0,2.0,94.117647,2.298701,7.066667,4.767966,207.420017,0.467532,0.044444,-0.423088,90.493913,0.287338,0.883333,0.595995,207.419485
QAOA,4,16,asap,next_cycle,8,2,2,8,4,5,5,34.0,2.0,94.117647,1.806122,3.741176,1.935054,107.13861,0.370166,0.183908,-0.186258,50.317425,0.225765,0.467647,0.241882,107.138839
QAOA,4,16,asap,next_cycle,8,2,2,8,8,5,5,34.0,2.0,94.117647,1.84375,6.765957,4.922207,266.967159,0.572917,0.06383,-0.509087,88.85877,0.230469,0.845745,0.615276,266.966924
QAOA,4,16,greedy_critical,next_cycle,8,1,1,8,4,5,5,34.0,2.0,94.117647,3.0,3.878049,0.878049,29.2683,0.157407,0.329268,0.171861,-109.182565,0.375,0.484756,0.109756,29.268267
QAOA,4,16,greedy_critical,next_cycle,8,1,1,8,8,5,5,34.0,2.0,94.117647,3.105263,7.571429,4.466166,143.825692,0.395833,0.02381,-0.372023,93.984837,0.388158,0.946429,0.558271,143.82571
