algorithm,hardware_size,logical_qubits,dag_seed,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,raw_ff_chain_depth,shifted_ff_chain_depth,depth_reduction_pct,raw_throughput,shifted_throughput,throughput_delta,throughput_gain_pct,raw_stall_rate,shifted_stall_rate,stall_rate_delta,stall_reduction_pct,raw_utilization,shifted_utilization,utilization_delta,utilization_gain_pct,raw_saturation_ratio,raw_saturation_bucket,raw_stall_bucket,latency_profile,width_profile
QAOA,4,16,0,asap,next_cycle,8,1,2,8,4,37,2,94.594595,2.226415,3.847826,1.621411,72.82609,0.27044,0.217391,-0.053049,19.615811,0.278302,0.480978,0.202676,72.825923,0.278302,underutilized,stall_high,mixed,W8_M8_F4
QAOA,4,16,0,asap,next_cycle,8,1,2,8,5,37,2,94.594595,2.269231,4.72,2.450769,107.999979,0.301282,0.146667,-0.154615,51.31903,0.283654,0.59,0.306346,107.999887,0.283654,underutilized,stall_high,mixed,W8_M8_F5
QAOA,4,16,0,asap,next_cycle,8,1,2,8,6,37,2,94.594595,2.283871,5.53125,3.247379,142.187497,0.380645,0.109375,-0.27127,71.265878,0.285484,0.691406,0.405922,142.187303,0.285484,underutilized,stall_high,mixed,W8_M8_F6
QAOA,4,16,0,asap,next_cycle,8,1,2,8,7,37,2,94.594595,2.298701,6.321429,4.022728,175.000054,0.422078,0.071429,-0.350649,83.076825,0.287338,0.790179,0.502841,174.999826,0.287338,underutilized,stall_high,mixed,W8_M8_F7
QAOA,4,16,0,asap,next_cycle,8,1,2,8,8,37,2,94.594595,2.298701,7.08,4.781299,208.00004,0.467532,0.04,-0.427532,91.444436,0.287338,0.885,0.597662,207.999638,0.287338,underutilized,stall_high,mixed,W8_M8_F8
QAOA,4,16,0,greedy_critical,next_cycle,8,1,2,8,4,37,2,94.594595,2.313725,3.847826,1.534101,66.304379,0.267974,0.347826,0.079852,-29.798413,0.289216,0.480978,0.191762,66.304077,0.289216,underutilized,stall_high,mixed,W8_M8_F4
QAOA,4,16,0,greedy_critical,next_cycle,8,1,2,8,5,37,2,94.594595,2.313725,4.783784,2.470059,106.75681,0.431373,0.243243,-0.18813,43.611909,0.289216,0.597973,0.308757,106.756542,0.289216,underutilized,stall_high,mixed,W8_M8_F5
QAOA,4,16,0,greedy_critical,next_cycle,8,1,2,8,6,37,2,94.594595,2.328947,5.709677,3.38073,145.161311,0.453947,0.145161,-0.308786,68.022478,0.291118,0.71371,0.422592,145.161756,0.291118,underutilized,stall_high,mixed,W8_M8_F6
QAOA,4,16,0,greedy_critical,next_cycle,8,1,2,8,7,37,2,94.594595,2.328947,6.555556,4.226609,181.481545,0.467105,0.055556,-0.411549,88.106314,0.291118,0.819444,0.528326,181.481736,0.291118,underutilized,stall_high,mixed,W8_M8_F7
QAOA,4,16,0,greedy_critical,next_cycle,8,1,2,8,8,37,2,94.594595,2.328947,7.375,5.046053,216.666717,0.513158,0.041667,-0.471491,91.880279,0.291118,0.921875,0.630757,216.667125,0.291118,underutilized,stall_high,mixed,W8_M8_F8
