algorithm,hardware_size,logical_qubits,dag_variant,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,n_seeds,total_nodes_median,total_cycles_median,ff_chain_depth_median,throughput_median,throughput_q1,throughput_q3,stall_rate_median,stall_rate_q1,stall_rate_q3,utilization_median,ff_chain_depth_raw_median,ff_chain_depth_shifted_median
QAOA,4,16,raw,asap,next_cycle,8,1,2,8,4,5,318.0,146.0,34.0,2.226415,2.178082,2.52541,0.291045,0.205468,0.311644,0.278302,34.0,2.0
QAOA,4,16,raw,asap,next_cycle,8,1,2,8,5,5,318.0,144.0,34.0,2.269231,2.208333,2.532414,0.333333,0.306378,0.383207,0.283654,34.0,2.0
QAOA,4,16,raw,asap,next_cycle,8,1,2,8,6,5,318.0,143.0,34.0,2.283871,2.216055,2.573077,0.391667,0.367246,0.456561,0.285484,34.0,2.0
QAOA,4,16,raw,asap,next_cycle,8,1,2,8,7,5,318.0,142.0,34.0,2.298701,2.231606,2.563741,0.480916,0.411039,0.522777,0.287338,34.0,2.0
QAOA,4,16,raw,asap,next_cycle,8,1,2,8,8,5,318.0,142.0,34.0,2.298701,2.231606,2.593902,0.467532,0.451697,0.515882,0.287338,34.0,2.0
QAOA,4,16,raw,ff_rate_matched,next_cycle,8,1,2,8,4,5,318.0,146.0,34.0,2.226415,2.163365,2.493018,0.208955,0.161015,0.261856,0.278302,34.0,2.0
QAOA,4,16,raw,ff_rate_matched,next_cycle,8,1,2,8,5,5,318.0,144.0,34.0,2.269231,2.208333,2.50364,0.298507,0.290573,0.357639,0.283654,34.0,2.0
QAOA,4,16,raw,ff_rate_matched,next_cycle,8,1,2,8,6,5,318.0,143.0,34.0,2.283871,2.216055,2.573077,0.374194,0.343911,0.449592,0.285484,34.0,2.0
QAOA,4,16,raw,ff_rate_matched,next_cycle,8,1,2,8,7,5,318.0,142.0,34.0,2.298701,2.231606,2.563741,0.473282,0.406872,0.519281,0.287338,34.0,2.0
QAOA,4,16,raw,ff_rate_matched,next_cycle,8,1,2,8,8,5,318.0,142.0,34.0,2.298701,2.231606,2.593902,0.467532,0.451697,0.515882,0.287338,34.0,2.0
QAOA,4,16,raw,stall_aware_shifted_refined,next_cycle,8,1,2,8,4,5,318.0,141.0,34.0,2.313725,2.247378,2.60544,0.263566,0.240889,0.307362,0.289216,34.0,2.0
QAOA,4,16,raw,stall_aware_shifted_refined,next_cycle,8,1,2,8,5,5,318.0,140.0,34.0,2.313725,2.271429,2.617173,0.414286,0.351521,0.447526,0.289216,34.0,2.0
QAOA,4,16,raw,stall_aware_shifted_refined,next_cycle,8,1,2,8,6,5,318.0,140.0,34.0,2.328947,2.271429,2.626803,0.453947,0.425347,0.503572,0.291118,34.0,2.0
QAOA,4,16,raw,stall_aware_shifted_refined,next_cycle,8,1,2,8,7,5,318.0,140.0,34.0,2.328947,2.271429,2.626803,0.506579,0.464776,0.542857,0.291118,34.0,2.0
QAOA,4,16,raw,stall_aware_shifted_refined,next_cycle,8,1,2,8,8,5,318.0,140.0,34.0,2.328947,2.271429,2.638739,0.546875,0.502269,0.557143,0.291118,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,8,1,2,8,4,5,318.0,83.0,2.0,3.831325,3.821545,3.839576,0.176471,0.150603,0.241226,0.478916,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,8,1,2,8,5,5,318.0,68.0,2.0,4.676471,4.676471,4.707826,0.130435,0.080882,0.183627,0.584559,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,8,1,2,8,6,5,318.0,58.0,2.0,5.482759,5.482759,5.511387,0.068966,0.068381,0.123653,0.685345,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,8,1,2,8,7,5,318.0,51.0,2.0,6.235294,6.233031,6.278361,0.058824,0.048454,0.07493,0.779412,34.0,2.0
QAOA,4,16,shifted,asap,next_cycle,8,1,2,8,8,5,318.0,45.0,2.0,7.066667,7.055072,7.073334,0.044444,0.041739,0.044444,0.883333,34.0,2.0
QAOA,4,16,shifted,ff_rate_matched,next_cycle,8,1,2,8,4,5,318.0,83.0,2.0,3.831325,3.821545,3.839576,0.024096,0.022634,0.024096,0.478916,34.0,2.0
QAOA,4,16,shifted,ff_rate_matched,next_cycle,8,1,2,8,5,5,318.0,68.0,2.0,4.676471,4.676471,4.707826,0.029412,0.027827,0.029412,0.584559,34.0,2.0
