algorithm,policy,raw_stall_bucket,pair_count,unique_seed_count,depth_reduction_pct_median,throughput_gain_pct_median,throughput_gain_pct_q1,throughput_gain_pct_q3,stall_reduction_pct_median,utilization_gain_pct_median,raw_throughput_median,raw_stall_rate_median,throughput_positive_count,throughput_zero_count,throughput_negative_count,throughput_sign_test_pvalue
QAOA,asap,stall_high,47,5,94.117647,104.545444,72.413796,186.666713,90.920717,104.545556,2.373134,0.315068,47,0,0,0.0
QAOA,asap,stall_low,28,5,98.561151,4.068774,2.547242,5.472628,-616.307106,4.068828,3.854032,0.034536,28,0,0,0.0
QAOA,asap,stall_medium,45,5,97.368421,19.638218,13.046347,30.752185,91.358425,19.638218,5.198697,0.097561,45,0,0,0.0
QAOA,greedy_critical,stall_high,52,5,94.117647,89.279932,57.948736,180.655409,91.543273,89.280039,2.638739,0.36121,52,0,0,0.0
QAOA,greedy_critical,stall_low,41,5,98.561151,3.507345,1.820567,5.528846,-1487.36481,3.50753,3.911362,0.015911,40,1,0,0.0
QAOA,greedy_critical,stall_medium,27,5,97.368421,11.793605,9.134618,19.117624,-203.048929,11.793454,3.686747,0.081319,27,0,0,0.0
QAOA,shifted_critical,stall_high,53,5,94.117647,86.893184,56.685214,180.655409,91.543273,86.893208,2.722689,0.355844,53,0,0,0.0
QAOA,shifted_critical,stall_low,42,5,98.561151,3.619343,1.807704,5.528846,-1370.886625,3.619502,3.924111,0.019071,41,1,0,0.0
QAOA,shifted_critical,stall_medium,25,5,97.368421,11.547915,9.240208,19.094891,-271.160177,11.547922,3.686747,0.070485,25,0,0,0.0
QAOA,stall_aware_shifted,stall_high,51,5,94.117647,82.629124,55.714274,161.224493,80.606061,82.628924,2.484375,0.342657,51,0,0,0.0
QAOA,stall_aware_shifted,stall_low,34,5,98.493174,4.510315,3.170735,9.687751,79.730985,4.510301,3.846692,0.028841,34,0,0,0.0
QAOA,stall_aware_shifted,stall_medium,35,5,97.647059,22.58064,13.043485,28.235286,87.902959,22.580681,3.640351,0.097784,35,0,0,0.0
QAOA,stall_aware_shifted_refined,stall_high,48,5,94.117647,89.183529,61.116583,162.244916,79.540068,89.183615,2.419125,0.349639,48,0,0,0.0
QAOA,stall_aware_shifted_refined,stall_low,30,5,98.561151,4.478477,3.188877,7.200002,78.931496,4.478398,3.846394,0.021299,30,0,0,0.0
QAOA,stall_aware_shifted_refined,stall_medium,42,5,97.368421,23.447094,14.114837,31.637526,84.547422,23.447188,4.295007,0.088799,42,0,0,0.0
QFT,asap,stall_high,30,5,90.909091,71.118228,35.220145,90.909105,89.357497,71.118177,3.898734,0.276142,30,0,0,0.0
QFT,asap,stall_low,21,5,90.39548,4.247333,3.249646,6.758007,-1020.673386,4.24741,3.817855,0.031156,21,0,0,1e-06
QFT,asap,stall_medium,29,5,90.39548,17.632562,10.018708,22.222219,90.88602,17.632524,6.679245,0.098958,29,0,0,0.0
QFT,greedy_critical,stall_high,25,5,90.909091,100.0,50.961543,100.0,96.396353,100.0,3.923567,0.353503,25,0,0,0.0
QFT,greedy_critical,stall_low,23,5,90.39548,4.067564,3.999998,7.759702,-1734.182846,4.067614,3.83163,0.024053,23,0,0,0.0
QFT,greedy_critical,stall_medium,32,5,90.39548,14.750008,14.750008,21.405753,-238.386533,14.750008,3.726316,0.083878,32,0,0,0.0
QFT,shifted_critical,stall_high,25,5,90.909091,99.363075,50.641033,100.0,96.4399,99.363025,3.936102,0.357827,25,0,0,0.0
QFT,shifted_critical,stall_low,21,5,90.39548,4.065049,3.033834,7.759702,-1731.584418,4.065047,3.83163,0.024053,21,0,0,1e-06
QFT,shifted_critical,stall_medium,34,5,90.652286,14.750008,11.575577,21.405753,-251.245659,14.750008,3.727406,0.085512,34,0,0,0.0
QFT,stall_aware_shifted,stall_high,30,5,90.909091,68.35953,38.08047,87.499997,84.375118,68.359554,3.911111,0.297445,30,0,0,0.0
QFT,stall_aware_shifted,stall_low,25,5,90.39548,3.595797,3.150184,7.271845,36.66123,3.595637,3.813285,0.026363,25,0,0,0.0
QFT,stall_aware_shifted,stall_medium,25,5,90.909091,17.597099,16.164225,24.493243,75.55709,17.597122,3.52,0.102591,25,0,0,0.0
QFT,stall_aware_shifted_refined,stall_high,29,5,90.909091,87.499997,39.64856,88.359005,83.564607,87.500026,3.911111,0.32381,29,0,0,0.0
QFT,stall_aware_shifted_refined,stall_low,25,5,90.39548,3.708269,2.838639,7.131428,35.977379,3.708245,3.822436,0.025814,25,0,0,0.0
QFT,stall_aware_shifted_refined,stall_medium,26,5,90.909091,17.779084,16.004804,24.528312,74.510467,17.779083,3.504986,0.09684,26,0,0,0.0
VQE,asap,stall_high,20,5,93.333333,81.081061,57.931841,96.950806,85.434629,81.081087,3.452616,0.38806,20,0,0,2e-06
VQE,asap,stall_low,60,5,98.412698,4.100179,1.994915,5.825247,-1554.983041,4.100246,3.942311,0.019597,60,0,0,0.0
VQE,asap,stall_medium,40,5,95.238095,21.031218,15.909094,26.012167,-79.744988,21.031248,4.345498,0.090045,40,0,0,0.0
VQE,greedy_critical,stall_high,15,5,93.333333,72.972975,72.972975,105.128219,65.40544,72.973,4.0,0.15625,15,0,0,6.1e-05
VQE,greedy_critical,stall_low,85,5,97.142857,0.876325,0.0,3.363908,-724.738486,0.876352,3.976699,0.009091,50,35,0,0.0
VQE,greedy_critical,stall_medium,20,5,93.333333,17.910474,12.847452,22.723352,-286.350006,17.910547,3.240506,0.088608,20,0,0,2e-06
VQE,shifted_critical,stall_high,20,5,93.333333,72.972975,50.254603,89.050597,68.5504,72.973,3.6,0.171875,20,0,0,2e-06
VQE,shifted_critical,stall_low,85,5,97.142857,0.876325,0.0,3.363908,-724.738486,0.876352,3.976699,0.009091,50,35,0,0.0
VQE,shifted_critical,stall_medium,15,5,93.333333,17.910474,7.784431,17.910474,-304.262595,17.910547,3.240506,0.088608,15,0,0,6.1e-05
VQE,stall_aware_shifted,stall_high,15,5,93.333333,72.972975,72.972975,105.128219,65.40544,72.973,4.0,0.15625,15,0,0,6.1e-05
VQE,stall_aware_shifted,stall_low,85,5,97.142857,0.583657,0.292102,2.43902,32.317682,0.583644,3.984436,0.006098,85,0,0,0.0
VQE,stall_aware_shifted,stall_medium,20,5,93.333333,11.940323,9.862377,19.013635,62.68625,11.940225,3.413333,0.08,20,0,0,2e-06
VQE,stall_aware_shifted_refined,stall_high,15,5,93.333333,72.972975,72.972975,105.128219,65.40544,72.973,4.0,0.15625,15,0,0,6.1e-05
VQE,stall_aware_shifted_refined,stall_low,85,5,97.142857,0.91743,0.292396,2.43902,39.418568,0.917482,3.980564,0.011583,85,0,0,0.0
VQE,stall_aware_shifted_refined,stall_medium,20,5,93.333333,14.925399,9.862377,22.723352,51.865314,14.925386,3.326919,0.073333,20,0,0,2e-06
