algorithm,policy,latency_profile,width_profile,case_count,throughput_improved_count,throughput_equal_count,throughput_worse_count,stall_reduction_pct_median,throughput_gain_pct_median
QAOA,asap,l1_l1,W4_M4_F4,1,1,0,0,-1.012556,0.997503
QAOA,asap,l1_l1,W4_M4_F8,1,1,0,0,-1.012556,0.997503
QAOA,asap,l1_l1,W4_M8_F4,1,1,0,0,-1.012556,0.997503
QAOA,asap,l1_l1,W4_M8_F8,1,1,0,0,-1.012556,0.997503
QAOA,asap,l1_l1,W8_M4_F4,1,1,0,0,-1.012556,0.997503
QAOA,asap,l1_l1,W8_M4_F8,1,1,0,0,-1.012556,0.997503
QAOA,asap,l1_l1,W8_M8_F4,14,14,0,0,-736.684757,3.393835
QAOA,asap,l2_l2,W8_M8_F4,10,10,0,0,-259.466303,10.458032
QAOA,asap,mixed,W8_M8_F4,22,22,0,0,-448.000805,5.472628
QAOA,greedy_critical,l1_l1,W8_M8_F4,15,15,0,0,-2712.993718,2.857153
QAOA,greedy_critical,l1_l1,W8_M8_F8,3,3,0,0,-1.455696,1.442308
QAOA,greedy_critical,l2_l2,W8_M8_F4,10,10,0,0,-666.745926,8.700385
QAOA,greedy_critical,mixed,W4_M4_F4,4,4,0,0,-0.968877,0.969514
QAOA,greedy_critical,mixed,W4_M4_F8,4,4,0,0,-0.968877,0.969514
QAOA,greedy_critical,mixed,W4_M8_F4,4,4,0,0,-0.968877,0.969514
QAOA,greedy_critical,mixed,W4_M8_F8,4,4,0,0,-0.968877,0.969514
QAOA,greedy_critical,mixed,W8_M4_F4,4,4,0,0,-0.968877,0.969514
QAOA,greedy_critical,mixed,W8_M4_F8,4,4,0,0,-0.968877,0.969514
QAOA,greedy_critical,mixed,W8_M8_F4,28,28,0,0,-716.546748,6.520905
QAOA,greedy_critical,mixed,W8_M8_F8,4,4,0,0,-6.618793,6.609357
QFT,asap,l1_l1,W8_M8_F4,10,10,0,0,-1297.220693,6.958953
QFT,asap,l2_l2,W8_M8_F4,10,10,0,0,-318.668142,20.701481
QFT,asap,mixed,W8_M8_F4,20,20,0,0,-611.65405,12.981151
QFT,greedy_critical,l1_l1,W8_M8_F4,10,10,0,0,-3037.429817,6.322305
QFT,greedy_critical,l2_l2,W8_M8_F4,10,10,0,0,-415.648828,20.684318
QFT,greedy_critical,mixed,W8_M8_F4,20,20,0,0,-886.881152,12.254884
VQE,asap,l1_l1,W8_M8_F4,15,15,0,0,-2797.922948,2.760725
VQE,asap,l2_l2,W8_M8_F4,15,15,0,0,-754.989018,7.621967
VQE,asap,mixed,W8_M8_F4,30,30,0,0,-1554.983041,4.892963
VQE,greedy_critical,l1_l1,W8_M8_F4,15,15,0,0,-4657.617424,1.226984
VQE,greedy_critical,l1_l1,W8_M8_F8,5,5,0,0,-37.142994,37.142871
VQE,greedy_critical,l2_l2,W8_M8_F4,15,15,0,0,-905.642055,5.487811
VQE,greedy_critical,mixed,W8_M8_F4,30,30,0,0,-3569.520027,3.363908
