dag_variant,algorithm,policy,width_profile,pair_count,throughput_delta_pct_median_vs_asap,stall_delta_pct_median_vs_asap,utilization_delta_pct_median_vs_asap,throughput_better_count_vs_asap,stall_better_count_vs_asap,joint_better_count_vs_asap
raw,QAOA,asap,W8_M8_F4,60,0.0,0.0,0.0,0,0,0
raw,QAOA,asap,W8_M8_F8,60,0.0,0.0,0.0,0,0,0
raw,QAOA,greedy_critical,W8_M8_F4,60,1.67966,-14.366388,1.679563,60,40,40
raw,QAOA,greedy_critical,W8_M8_F8,60,3.48839,7.521411,3.488368,60,23,23
raw,QAOA,regime_switch,W8_M8_F4,60,1.54814,-9.418483,1.548182,60,43,43
raw,QAOA,regime_switch,W8_M8_F8,60,0.0,0.0,0.0,0,0,0
raw,QAOA,regime_switch_refined,W8_M8_F4,60,1.662384,-13.91496,1.662251,60,43,43
raw,QAOA,regime_switch_refined,W8_M8_F8,60,0.0,0.0,0.0,20,11,11
raw,QAOA,shifted_critical,W8_M8_F4,60,1.77322,-14.81191,1.773303,60,44,44
raw,QAOA,shifted_critical,W8_M8_F8,60,3.48839,6.661021,3.488368,60,24,24
raw,QAOA,stall_aware_shifted,W8_M8_F4,60,1.45035,-8.877524,1.450392,60,45,45
raw,QAOA,stall_aware_shifted,W8_M8_F8,60,3.48839,6.661021,3.488368,60,24,24
raw,QFT,asap,W8_M8_F4,60,0.0,0.0,0.0,0,0,0
raw,QFT,asap,W8_M8_F8,60,0.0,0.0,0.0,0,0,0
raw,QFT,greedy_critical,W8_M8_F4,60,0.300483,-8.924471,0.300483,60,46,46
raw,QFT,greedy_critical,W8_M8_F8,60,1.894594,-24.88807,1.894547,60,40,40
raw,QFT,regime_switch,W8_M8_F4,60,0.20886,-4.345444,0.208926,60,38,38
raw,QFT,regime_switch,W8_M8_F8,60,0.0,0.0,0.0,0,0,0
raw,QFT,regime_switch_refined,W8_M8_F4,60,0.300296,-7.104618,0.300244,60,45,45
raw,QFT,regime_switch_refined,W8_M8_F8,60,0.127219,0.0,0.127282,30,24,24
raw,QFT,shifted_critical,W8_M8_F4,60,0.300483,-9.771674,0.300483,60,46,46
raw,QFT,shifted_critical,W8_M8_F8,60,1.894594,-24.988955,1.894547,60,41,41
raw,QFT,stall_aware_shifted,W8_M8_F4,60,0.148072,-1.358623,0.14806,60,32,32
raw,QFT,stall_aware_shifted,W8_M8_F8,60,1.894594,-24.988955,1.894547,60,41,41
raw,VQE,asap,W8_M8_F4,60,0.0,0.0,0.0,0,0,0
raw,VQE,asap,W8_M8_F8,60,0.0,0.0,0.0,0,0,0
raw,VQE,greedy_critical,W8_M8_F4,60,1.497222,-29.156802,1.49725,60,60,60
raw,VQE,greedy_critical,W8_M8_F8,60,6.037619,-76.458646,6.037634,60,60,60
raw,VQE,regime_switch,W8_M8_F4,60,0.292397,0.146728,0.292397,35,25,20
raw,VQE,regime_switch,W8_M8_F8,60,0.0,0.0,0.0,0,0,0
raw,VQE,regime_switch_refined,W8_M8_F4,60,1.077488,-33.288817,1.077426,50,45,40
raw,VQE,regime_switch_refined,W8_M8_F8,60,0.609758,-4.210176,0.609791,30,30,30
raw,VQE,shifted_critical,W8_M8_F4,60,1.497222,-39.395351,1.49725,60,60,60
raw,VQE,shifted_critical,W8_M8_F8,60,6.037619,-73.286495,6.037634,60,60,60
raw,VQE,stall_aware_shifted,W8_M8_F4,60,-0.289863,7.971844,-0.289887,20,20,15
raw,VQE,stall_aware_shifted,W8_M8_F8,60,6.037619,-73.286495,6.037634,60,60,60
shifted,QAOA,asap,W8_M8_F4,60,0.0,0.0,0.0,0,0,0
shifted,QAOA,asap,W8_M8_F8,60,0.0,0.0,0.0,0,0,0
shifted,QAOA,greedy_critical,W8_M8_F4,60,0.0,79.902529,0.0,7,0,0
shifted,QAOA,greedy_critical,W8_M8_F8,60,0.0,0.0,0.0,22,0,0
shifted,QAOA,regime_switch,W8_M8_F4,60,0.0,84.740338,0.0,7,0,0
shifted,QAOA,regime_switch,W8_M8_F8,60,0.0,0.0,0.0,0,0,0
shifted,QAOA,regime_switch_refined,W8_M8_F4,60,0.0,90.292111,0.0,7,0,0
shifted,QAOA,regime_switch_refined,W8_M8_F8,60,0.0,0.0,0.0,12,0,0
shifted,QAOA,shifted_critical,W8_M8_F4,60,0.0,91.785202,0.0,7,0,0
shifted,QAOA,shifted_critical,W8_M8_F8,60,0.0,0.0,0.0,22,0,0
shifted,QAOA,stall_aware_shifted,W8_M8_F4,60,0.0,84.740338,0.0,7,0,0
shifted,QAOA,stall_aware_shifted,W8_M8_F8,60,0.0,0.0,0.0,22,0,0
shifted,QFT,asap,W8_M8_F4,40,0.0,0.0,0.0,0,0,0
shifted,QFT,asap,W8_M8_F8,40,0.0,0.0,0.0,0,0,0
shifted,QFT,greedy_critical,W8_M8_F4,40,0.250074,14.774993,0.250138,33,8,7
shifted,QFT,greedy_critical,W8_M8_F8,40,2.564104,-64.9681,2.564052,40,38,38
shifted,QFT,regime_switch,W8_M8_F4,40,0.284893,11.733943,0.284956,35,12,12
shifted,QFT,regime_switch,W8_M8_F8,40,0.0,0.0,0.0,0,0,0
shifted,QFT,regime_switch_refined,W8_M8_F4,40,0.284893,12.28735,0.284956,35,10,10
shifted,QFT,regime_switch_refined,W8_M8_F8,40,0.499997,-23.566152,0.500016,20,20,20
shifted,QFT,shifted_critical,W8_M8_F4,40,0.284893,12.78019,0.284956,35,8,8
shifted,QFT,shifted_critical,W8_M8_F8,40,2.564104,-64.9681,2.564052,40,38,38
shifted,QFT,stall_aware_shifted,W8_M8_F4,40,0.284893,11.816083,0.284956,35,12,12
shifted,QFT,stall_aware_shifted,W8_M8_F8,40,2.564104,-64.9681,2.564052,40,38,38
shifted,VQE,asap,W8_M8_F4,60,0.0,0.0,0.0,0,0,0
shifted,VQE,asap,W8_M8_F8,60,0.0,0.0,0.0,0,0,0
shifted,VQE,greedy_critical,W8_M8_F4,60,0.0,0.0,0.0,0,0,0
shifted,VQE,greedy_critical,W8_M8_F8,60,0.0,0.0,0.0,0,0,0
shifted,VQE,regime_switch,W8_M8_F4,60,0.0,14.788682,0.0,0,0,0
shifted,VQE,regime_switch,W8_M8_F8,60,0.0,0.0,0.0,0,0,0
shifted,VQE,regime_switch_refined,W8_M8_F4,60,0.0,14.788682,0.0,0,0,0
shifted,VQE,regime_switch_refined,W8_M8_F8,60,0.0,0.0,0.0,0,0,0
shifted,VQE,shifted_critical,W8_M8_F4,60,0.0,14.788682,0.0,0,0,0
shifted,VQE,shifted_critical,W8_M8_F8,60,0.0,0.0,0.0,0,0,0
shifted,VQE,stall_aware_shifted,W8_M8_F4,60,0.0,14.788682,0.0,0,0,0
shifted,VQE,stall_aware_shifted,W8_M8_F8,60,0.0,0.0,0.0,0,0,0
