dag_variant,algorithm,policy,width_profile,scenario_count,throughput_win_count,throughput_win_rate,stall_win_count,stall_win_rate,joint_win_count,joint_win_rate
raw,QAOA,asap,W8_M8_F4,60,0,0.0,11,0.183333,0,0.0
raw,QAOA,asap,W8_M8_F8,60,0,0.0,36,0.6,0,0.0
raw,QAOA,greedy_critical,W8_M8_F4,60,46,0.766667,19,0.316667,18,0.3
raw,QAOA,greedy_critical,W8_M8_F8,60,60,1.0,20,0.333333,20,0.333333
raw,QAOA,regime_switch,W8_M8_F4,60,30,0.5,17,0.283333,13,0.216667
raw,QAOA,regime_switch,W8_M8_F8,60,0,0.0,36,0.6,0,0.0
raw,QAOA,shifted_critical,W8_M8_F4,60,59,0.983333,30,0.5,29,0.483333
raw,QAOA,shifted_critical,W8_M8_F8,60,60,1.0,18,0.3,18,0.3
raw,QAOA,stall_aware_shifted,W8_M8_F4,60,31,0.516667,16,0.266667,12,0.2
raw,QAOA,stall_aware_shifted,W8_M8_F8,60,60,1.0,18,0.3,18,0.3
raw,QFT,asap,W8_M8_F4,60,0,0.0,13,0.216667,0,0.0
raw,QFT,asap,W8_M8_F8,60,0,0.0,19,0.316667,0,0.0
raw,QFT,greedy_critical,W8_M8_F4,60,54,0.9,16,0.266667,16,0.266667
raw,QFT,greedy_critical,W8_M8_F8,60,60,1.0,27,0.45,27,0.45
raw,QFT,regime_switch,W8_M8_F4,60,15,0.25,6,0.1,2,0.033333
raw,QFT,regime_switch,W8_M8_F8,60,0,0.0,19,0.316667,0,0.0
raw,QFT,shifted_critical,W8_M8_F4,60,47,0.783333,21,0.35,21,0.35
raw,QFT,shifted_critical,W8_M8_F8,60,54,0.9,38,0.633333,32,0.533333
raw,QFT,stall_aware_shifted,W8_M8_F4,60,10,0.166667,15,0.25,6,0.1
raw,QFT,stall_aware_shifted,W8_M8_F8,60,54,0.9,38,0.633333,32,0.533333
raw,VQE,asap,W8_M8_F4,60,0,0.0,0,0.0,0,0.0
raw,VQE,asap,W8_M8_F8,60,0,0.0,0,0.0,0,0.0
raw,VQE,greedy_critical,W8_M8_F4,60,60,1.0,45,0.75,45,0.75
raw,VQE,greedy_critical,W8_M8_F8,60,60,1.0,60,1.0,60,1.0
raw,VQE,regime_switch,W8_M8_F4,60,10,0.166667,5,0.083333,5,0.083333
raw,VQE,regime_switch,W8_M8_F8,60,0,0.0,0,0.0,0,0.0
raw,VQE,shifted_critical,W8_M8_F4,60,60,1.0,55,0.916667,55,0.916667
raw,VQE,shifted_critical,W8_M8_F8,60,60,1.0,40,0.666667,40,0.666667
raw,VQE,stall_aware_shifted,W8_M8_F4,60,0,0.0,0,0.0,0,0.0
raw,VQE,stall_aware_shifted,W8_M8_F8,60,60,1.0,40,0.666667,40,0.666667
shifted,QAOA,asap,W8_M8_F4,60,53,0.883333,60,1.0,53,0.883333
shifted,QAOA,asap,W8_M8_F8,60,38,0.633333,60,1.0,38,0.633333
shifted,QAOA,greedy_critical,W8_M8_F4,60,60,1.0,0,0.0,0,0.0
shifted,QAOA,greedy_critical,W8_M8_F8,60,60,1.0,38,0.633333,38,0.633333
shifted,QAOA,regime_switch,W8_M8_F4,60,60,1.0,0,0.0,0,0.0
shifted,QAOA,regime_switch,W8_M8_F8,60,38,0.633333,60,1.0,38,0.633333
shifted,QAOA,shifted_critical,W8_M8_F4,60,60,1.0,0,0.0,0,0.0
shifted,QAOA,shifted_critical,W8_M8_F8,60,60,1.0,38,0.633333,38,0.633333
shifted,QAOA,stall_aware_shifted,W8_M8_F4,60,60,1.0,0,0.0,0,0.0
shifted,QAOA,stall_aware_shifted,W8_M8_F8,60,60,1.0,38,0.633333,38,0.633333
shifted,QFT,asap,W8_M8_F4,40,5,0.125,28,0.7,5,0.125
shifted,QFT,asap,W8_M8_F8,40,0,0.0,2,0.05,0,0.0
shifted,QFT,greedy_critical,W8_M8_F4,40,32,0.8,8,0.2,4,0.1
shifted,QFT,greedy_critical,W8_M8_F8,40,40,1.0,38,0.95,38,0.95
shifted,QFT,regime_switch,W8_M8_F4,40,39,0.975,4,0.1,4,0.1
shifted,QFT,regime_switch,W8_M8_F8,40,0,0.0,2,0.05,0,0.0
shifted,QFT,shifted_critical,W8_M8_F4,40,39,0.975,0,0.0,0,0.0
shifted,QFT,shifted_critical,W8_M8_F8,40,40,1.0,38,0.95,38,0.95
shifted,QFT,stall_aware_shifted,W8_M8_F4,40,40,1.0,4,0.1,4,0.1
shifted,QFT,stall_aware_shifted,W8_M8_F8,40,40,1.0,38,0.95,38,0.95
shifted,VQE,asap,W8_M8_F4,60,60,1.0,60,1.0,60,1.0
shifted,VQE,asap,W8_M8_F8,60,60,1.0,60,1.0,60,1.0
shifted,VQE,greedy_critical,W8_M8_F4,60,60,1.0,60,1.0,60,1.0
shifted,VQE,greedy_critical,W8_M8_F8,60,60,1.0,60,1.0,60,1.0
shifted,VQE,regime_switch,W8_M8_F4,60,60,1.0,0,0.0,0,0.0
shifted,VQE,regime_switch,W8_M8_F8,60,60,1.0,60,1.0,60,1.0
shifted,VQE,shifted_critical,W8_M8_F4,60,60,1.0,0,0.0,0,0.0
shifted,VQE,shifted_critical,W8_M8_F8,60,60,1.0,45,0.75,45,0.75
shifted,VQE,stall_aware_shifted,W8_M8_F4,60,60,1.0,0,0.0,0,0.0
shifted,VQE,stall_aware_shifted,W8_M8_F8,60,60,1.0,45,0.75,45,0.75
